date,day,discipline,event_id,headtohead,location,opponent,opponent_score,played_at_home,result,score,season,time,tournament
2008-02-22,Friday,m-basebl,906845,True,"Port St. Lucie, Fla.",Villanova,4,True,Won,13,2007,6:00 p.m. ET,False
2008-02-23,Saturday,m-basebl,906848,True,"Port St. Lucie, Fla.",Villanova,6,True,Won,16,2007,1:00 p.m. ET,False
2008-02-24,Sunday,m-basebl,906850,True,"Port St. Lucie, Fla.",Villanova,9,True,Won,18,2007,12:00 p.m. ET,False
2008-02-28,Thursday,m-basebl,906860,True,"Tempe, Ariz.",Arizona State,15,False,Lost,4,2007,6:30 p.m. MT,False
2008-02-29,Friday,m-basebl,906863,True,"Surprise, Ariz.",Portland,4,True,Lost,3,2007,4:00 p.m. MT,True
2008-03-01,Saturday,m-basebl,906870,True,"Surprise, Ariz.",Hawaii,5,False,Won,11,2007,12:00 p.m. MT,True
2008-03-01,Saturday,m-basebl,912538,True,"Surprise, Ariz.",Arizona State,8,False,Lost,4,2007,4:00 p.m. MT,True
2008-03-07,Friday,m-basebl,906207,True,"Greenville, N.C.",Georgia Southern,,True,Postponed,,2007,2:00 p.m. ET,False
2008-03-08,Saturday,m-basebl,914982,True,"Greenville, N.C.",Georgia Southern,12,True,Lost,3,2007,9:30 a.m. ET,True
2008-03-08,Saturday,m-basebl,906209,True,"Greenville, N.C.",East Carolina,6,False,Lost,5,2007,4:30 p.m. ET,True
2008-03-09,Sunday,m-basebl,906210,True,"Greenville, N.C.",Pittsburgh,0,False,Won,7,2007,9:00 a.m. ET,True
2008-03-14,Friday,m-basebl,906873,True,"Conway, S.C.",Presbyterian,2,True,Won,5,2007,12:00 p.m. ET,True
2008-03-15,Saturday,m-basebl,906876,True,"Conway, S.C.",Ball State,4,True,Won,8,2007,11:00 a.m. ET,True
2008-03-15,Saturday,m-basebl,906879,True,"Conway, S.C.",Coastal Carolina,1,True,Won,4,2007,2:30 p.m. ET,True
2008-03-16,Sunday,m-basebl,906926,True,"Conway, S.C.",Coastal Carolina,11,True,Lost,9,2007,1:00 p.m. ET,True
2008-03-19,Wednesday,m-basebl,906935,True,"Ann Arbor, Mich.",Oakland,,True,Postponed,,2007,3:05 p.m. ET,False
2008-03-20,Thursday,m-basebl,906938,True,"Ann Arbor, Mich.",Oakland,4,True,Won,7,2007,4:05 p.m. ET,False
2008-03-21,Friday,m-basebl,906942,True,"Ann Arbor, Mich.",IPFW,,True,Postponed,,2007,3:05 p.m. ET,False
2008-03-24,Monday,m-basebl,918002,True,"Ann Arbor, Mich.",Oakland,,True,Postponed,,2007,3:05 p.m. ET,False
2008-03-25,Tuesday,m-basebl,906977,True,"Ann Arbor, Mich.",Bowling Green,,True,Postponed,,2007,3:05 p.m. ET,False
2008-03-26,Wednesday,m-basebl,918726,True,"Ann Arbor, Mich.",IPFW,2,True,Won,4,2007,5:05 p.m. ET,False
2008-03-28,Friday,m-basebl,906979,True,"Ann Arbor, Mich.",Iowa,,True,Postponed,,2007,3:05 p.m. ET,False
2008-03-29,Saturday,m-basebl,906982,True,"Ann Arbor, Mich.",Iowa,3,True,Won,4,2007,1:05 p.m. ET,False
2008-03-29,Saturday,m-basebl,906986,True,"Ann Arbor, Mich.",Iowa,3,True,Won,5,2007,4:05 p.m. ET,False
2008-03-30,Sunday,m-basebl,906987,True,"Ann Arbor, Mich.",Iowa,3,True,Won,6,2007,12:05 p.m. ET,False
2008-03-30,Sunday,m-basebl,921508,True,"Ann Arbor, Mich.",Iowa,2,True,Won,3,2007,2:35 p.m. ET,False
2008-04-02,Wednesday,m-basebl,906988,True,"Mt. Pleasant, Mich.",C. Michigan,7,False,Lost,3,2007,3:05 p.m. ET,False
2008-04-04,Friday,m-basebl,906989,True,"State College, Pa.",Penn State,3,False,Won,4,2007,6:35 p.m. ET,False
2008-04-05,Saturday,m-basebl,906990,True,"State College, Pa.",Penn State,0,False,Won,1,2007,2:05 p.m. ET,False
2008-04-05,Saturday,m-basebl,906991,True,"State College, Pa.",Penn State,3,False,Won,6,2007,4:05 p.m. ET,False
2008-04-06,Sunday,m-basebl,906992,True,"State College, Pa.",Penn State,10,False,Lost,1,2007,1:05 p.m. ET,False
2008-04-09,Wednesday,m-basebl,906993,True,"Ann Arbor, Mich.",Toledo,4,True,Won,12,2007,3:05 p.m. ET,False
2008-04-11,Friday,m-basebl,906994,True,"Champaign, Ill.",Illinois,5,False,Won,9,2007,6:05 p.m. CT,False
2008-04-12,Saturday,m-basebl,906998,True,"Champaign, Ill.",Illinois,4,False,Won,14,2007,1:05 p.m. CT,False
2008-04-12,Saturday,m-basebl,906996,True,"Champaign, Ill.",Illinois,6,False,Won,14,2007,3:35 p.m. CT,False
2008-04-13,Sunday,m-basebl,907003,True,"Champaign, Ill.",Illinois,4,False,Won,7,2007,1:05 p.m. CT,False
2008-04-15,Tuesday,m-basebl,922360,True,"Ann Arbor, Mich.",Eastern Michigan,3,True,Won,5,2007,6:30 p.m. ET,False
2008-04-16,Wednesday,m-basebl,907030,True,"Ann Arbor, Mich.",Eastern Michigan,5,True,Won,20,2007,3:05 p.m. ET,False
2008-04-18,Friday,m-basebl,907033,True,"Ann Arbor, Mich.",Michigan State,3,True,Won,8,2007,6:35 p.m. ET,False
2008-04-19,Saturday,m-basebl,907041,True,"East Lansing, Mich.",Michigan State,4,False,Won,10,2007,1:05 p.m. ET,False
2008-04-19,Saturday,m-basebl,907038,True,"East Lansing, Mich.",Michigan State,1,False,Won,7,2007,3:35 p.m. ET,False
2008-04-20,Sunday,m-basebl,907045,True,"Ann Arbor, Mich.",Michigan State,6,True,Won,27,2007,1:05 p.m. ET,False
2008-04-25,Friday,m-basebl,907046,True,"Bloomington, Ind.",Indiana,6,False,Won,14,2007,3:05 p.m. ET,False
2008-04-26,Saturday,m-basebl,907047,True,"Bloomington, Ind.",Indiana,2,False,Lost,1,2007,1:00 p.m. ET,False
2008-04-26,Saturday,m-basebl,907048,True,"Bloomington, Ind.",Indiana,4,False,Won,11,2007,3:00 p.m. ET,False
2008-04-27,Sunday,m-basebl,907049,True,"Bloomington, Ind.",Indiana,11,False,Lost,4,2007,1:00 p.m. ET,False
2008-04-29,Tuesday,m-basebl,907053,True,"Ann Arbor, Mich.",Western Michigan,4,True,Won,7,2007,6:35 p.m. ET,False
2008-05-02,Friday,m-basebl,907055,True,"Ann Arbor, Mich.",Ohio State,1,True,Won,4,2007,6:35 p.m. ET,False
2008-05-03,Saturday,m-basebl,907060,True,"Ann Arbor, Mich.",Ohio State,1,True,Won,6,2007,1:05 p.m. ET,False
2008-05-03,Saturday,m-basebl,907058,True,"Ann Arbor, Mich.",Ohio State,3,True,Lost,2,2007,3:35 p.m. ET,False
2008-05-04,Sunday,m-basebl,907070,True,"Ann Arbor, Mich.",Ohio State,1,True,Won,15,2007,1:05 p.m. ET,False
2008-05-06,Tuesday,m-basebl,933048,True,"Muncie, Ind.",Ball State,8,False,Won,15,2007,4:30 p.m. ET,False
2008-05-09,Friday,m-basebl,907074,True,"Minneapolis, Minn.",Minnesota,2,False,Won,4,2007,6:35 p.m. CT,False
2008-05-10,Saturday,m-basebl,907080,True,"Minneapolis, Minn.",Minnesota,,False,Postponed,,2007,2:35 p.m. CT,False
2008-05-10,Saturday,m-basebl,907077,True,"Minneapolis, Minn.",Minnesota,,False,Postponed,,2007,5:05 p.m. CT,False
2008-05-11,Sunday,m-basebl,907092,True,"Minneapolis, Minn.",Minnesota,5,False,Won,11,2007,12:05 p.m. CT,False
2008-05-11,Sunday,m-basebl,1107018,True,"Minneapolis, Minn.",Minnesota,8,False,Won,12,2007,4:00 p.m. CT,False
2008-05-13,Tuesday,m-basebl,907093,True,"Grand Rapids, Mich.",Notre Dame,12,True,Won,15,2007,7:05 p.m. ET,False
2008-05-15,Thursday,m-basebl,907095,True,"Ann Arbor, Mich.",Northwestern,4,True,Won,9,2007,6:35 p.m. ET,False
2008-05-16,Friday,m-basebl,907097,True,"Ann Arbor, Mich.",Northwestern,1,True,Won,7,2007,4:05 p.m. ET,False
2008-05-16,Friday,m-basebl,907096,True,"Ann Arbor, Mich.",Northwestern,2,True,Lost,0,2007,7:05 p.m. ET,False
2008-05-17,Saturday,m-basebl,907098,True,"Ann Arbor, Mich.",Northwestern,2,True,Won,11,2007,1:05 p.m. ET,False
2008-05-22,Thursday,m-basebl,936104,True,"Ann Arbor, Mich.",Illinois,2,True,Won,5,2007,7:05 p.m. ET,True
2008-05-23,Friday,m-basebl,937086,True,"Ann Arbor, Mich.",Purdue,1,True,Won,6,2007,7:05 p.m. ET,True
2008-05-24,Saturday,m-basebl,937379,True,"Ann Arbor, Mich.",Purdue,2,False,Won,3,2007,7:05 p.m. ET,True
2008-05-30,Friday,m-basebl,937773,True,"Ann Arbor, Mich.",Kentucky,,True,,,2007,7:00 p.m. ET,False
2008-05-31,Saturday,m-basebl,939376,True,"Ann Arbor, Mich.",Kentucky,5,True,Won,7,2007,11:00 a.m. ET,True
2008-05-31,Saturday,m-basebl,939047,True,"Ann Arbor, Mich.",Arizona,4,False,Lost,3,2007,7:00 p.m. ET,True
2008-06-01,Sunday,m-basebl,939501,True,"Ann Arbor, Mich.",Kentucky,12,False,Lost,6,2007,2:00 p.m. ET,True
2009-02-20,Friday,m-basebl,1052448,True,"Clearwater, Fla.",USF,5,True,Won,6,2008,1:00 p.m. ET,True
2009-02-21,Saturday,m-basebl,1052411,True,"Clearwater, Fla.",Cincinnati,1,False,Won,6,2008,4:00 p.m. ET,True
2009-02-22,Sunday,m-basebl,1052412,True,"Clearwater, Fla.",St. John's,2,False,Won,4,2008,1:00 p.m. ET,True
2009-02-21,Saturday,m-basebl,1052410,True,"Clearwater, Fla.",Purdue,3,True,Won,4,2008,11:00 a.m. ET,False
2009-02-25,Wednesday,m-basebl,1052449,True,"Jacksonville, Fla.",UNF,8,True,Won,9,2008,7:00 p.m. ET,False
2009-02-27,Friday,m-basebl,1052413,True,"Jacksonville, Fla.",Milwaukee,19,True,Lost,11,2008,1:00 p.m. ET,True
2009-02-28,Saturday,m-basebl,1052452,True,"Jacksonville, Fla.",Jacksonville,3,False,Won,21,2008,3:30 p.m. ET,True
2009-02-28,Saturday,m-basebl,1065119,True,"Jacksonville, Fla.",Jacksonville,10,False,Lost,2,2008,6:00 p.m. ET,True
2009-03-01,Sunday,m-basebl,1052456,True,"Jacksonville, Fla.",Akron,7,False,Won,10,2008,12:00 p.m. ET,True
