date,day,discipline,event_id,headtohead,location,opponent,opponent_score,played_at_home,result,score,season,time,tournament
2007-11-01,Thursday,m-baskbl,867735,True,"Ann Arbor, Mich.",Ferris State,40,True,Won,78,2007,7:00 p.m. ET,False
2007-11-09,Friday,m-baskbl,867692,True,"Ann Arbor, Mich.",Radford,55,True,Won,82,2007,7:00 p.m. ET,False
2007-11-11,Sunday,m-baskbl,867627,True,"Ann Arbor, Mich.",Brown,57,True,Won,72,2007,12:00 p.m. ET,False
2007-11-15,Thursday,m-baskbl,867628,True,"Washington, D.C.",Georgetown,74,False,Lost,52,2007,7:30 p.m. ET,False
2007-11-21,Wednesday,m-baskbl,867632,True,"Anchorage, Alaska",Butler,79,False,Lost,65,2007,7:30 p.m. AKT,True
2007-11-23,Friday,m-baskbl,867695,True,"Anchorage, Alaska",Eastern Michigan,53,False,Won,61,2007,12:00 p.m. AKT,True
2007-11-24,Saturday,m-baskbl,867697,True,"Anchorage, Alaska",Western Kentucky,73,False,Lost,69,2007,2:00 p.m. AKT,True
2007-11-28,Wednesday,m-baskbl,867634,True,"Ann Arbor, Mich.",Boston College,77,True,Lost,64,2007,7:15 p.m. ET,True
2007-12-01,Saturday,m-baskbl,867702,True,"Boston, Mass.",Harvard,62,False,Lost,51,2007,5:30 p.m. ET,False
2007-12-08,Saturday,m-baskbl,867705,True,"Durham, N.C.",Duke,95,False,Lost,67,2007,2:00 p.m. ET,False
2007-12-12,Wednesday,m-baskbl,867706,True,"Ann Arbor, Mich.",Oakland,87,True,Won,103,2007,7:00 p.m. ET,False
2007-12-15,Saturday,m-baskbl,867709,True,"Ann Arbor, Mich.",C. Michigan,78,True,Lost,67,2007,2:00 p.m. ET,False
2007-12-22,Saturday,m-baskbl,867636,True,"Ann Arbor, Mich.",UCLA,69,True,Lost,54,2007,2:00 p.m. ET,False
2008-01-02,Wednesday,m-baskbl,867710,True,"Ann Arbor, Mich.",Wisconsin,70,True,Lost,54,2007,7:00 p.m. ET,False
2008-01-05,Saturday,m-baskbl,867640,True,"West Lafayettte, Ind.",Purdue,65,False,Lost,58,2007,2:00 p.m. ET,False
2008-01-08,Tuesday,m-baskbl,867642,True,"Ann Arbor, Mich.",Indiana,78,True,Lost,64,2007,7:00 p.m. ET,False
2008-01-12,Saturday,m-baskbl,867645,True,"Evanston, Ill.",Northwestern,68,False,Won,78,2007,5:30 p.m. CT,False
2008-01-16,Wednesday,m-baskbl,867646,True,"Champaign, Ill.",Illinois,75,False,Lost,57,2007,8:00 p.m. CT,False
2008-01-19,Saturday,m-baskbl,867647,True,"Ann Arbor, Mich.",Iowa,68,True,Lost,60,2007,7:00 p.m. ET,False
2008-01-22,Tuesday,m-baskbl,867713,True,"Madison, Wis.",Wisconsin,64,False,Lost,61,2007,6:00 p.m. CT,False
2008-01-27,Sunday,m-baskbl,867648,True,"Ann Arbor, Mich.",Michigan State,77,True,Lost,62,2007,1:00 p.m. ET,False
2008-01-31,Thursday,m-baskbl,867716,True,"Ann Arbor, Mich.",Minnesota,77,True,Lost,65,2007,7:00 p.m. ET,False
2008-02-05,Tuesday,m-baskbl,867719,True,"Columbus, Ohio",Ohio State,65,False,Lost,55,2007,7:00 p.m. ET,False
2008-02-09,Saturday,m-baskbl,867650,True,"Ann Arbor, Mich.",Penn State,63,True,Won,68,2007,4:00 p.m. ET,False
2008-02-14,Thursday,m-baskbl,867652,True,"Iowa City, Iowa",Iowa,52,False,Won,60,2007,8:05 p.m. CT,False
2008-02-17,Sunday,m-baskbl,867720,True,"Ann Arbor, Mich.",Ohio State,70,True,Won,80,2007,1:00 p.m. ET,False
2008-02-21,Thursday,m-baskbl,867722,True,"Minneapolis, Minn.",Minnesota,69,False,Lost,60,2007,8:00 p.m. CT,False
2008-02-23,Saturday,m-baskbl,867657,True,"Ann Arbor, Mich.",Illinois,43,True,Won,49,2007,4:00 p.m. ET,False
2008-02-26,Tuesday,m-baskbl,867658,True,"Ann Arbor, Mich.",Northwestern,62,True,Lost,60,2007,9:00 p.m. ET,False
2008-03-01,Saturday,m-baskbl,867660,True,"State College, Pa.",Penn State,69,False,Lost,61,2007,8:00 p.m. ET,False
2008-03-09,Sunday,m-baskbl,867724,True,"Ann Arbor, Mich.",Purdue,72,True,Lost,58,2007,4:00 p.m. ET,False
2008-03-13,Thursday,m-baskbl,915404,True,"Indianapolis, Ind.",Iowa,47,False,Won,55,2007,12:00 p.m. ET,True
2008-03-14,Friday,m-baskbl,916565,True,"Indianapolis, Ind.",Wisconsin,51,False,Lost,34,2007,12:00 p.m. ET,True
2008-11-06,Thursday,m-baskbl,1027506,True,"Ann Arbor, Mich.",Saginaw Valley State,55,True,Won,81,2008,7:00 p.m. ET,False
2008-11-11,Tuesday,m-baskbl,1027660,True,"Ann Arbor, Mich.",Michigan Tech,55,True,Won,77,2008,7:00 p.m. ET,True
2008-11-12,Wednesday,m-baskbl,1027774,True,"Ann Arbor, Mich.",Northeastern,56,True,Won,76,2008,8:00 p.m. ET,True
2008-11-20,Thursday,m-baskbl,1107542,True,"New York, N.Y.",UCLA,52,True,Won,55,2008,9:00 p.m. ET,True
2008-11-21,Friday,m-baskbl,1107548,True,"New York, N.Y.",Duke,71,True,Lost,56,2008,7:00 p.m. ET,True
2008-11-25,Tuesday,m-baskbl,1027659,True,"Ann Arbor, Mich.",Norfolk State,49,True,Won,83,2008,8:30 p.m. ET,False
2008-11-29,Saturday,m-baskbl,1027658,True,"Ann Arbor, Mich.",Savannah State,64,True,Won,66,2008,2:00 p.m. ET,False
2008-12-03,Wednesday,m-baskbl,1027657,True,"College Park, Md.",Maryland,75,False,Lost,70,2008,7:30 p.m. ET,True
2008-12-06,Saturday,m-baskbl,1027656,True,"Ann Arbor, Mich.",Duke,73,True,Won,81,2008,3:30 p.m. ET,False
2008-12-13,Saturday,m-baskbl,1027648,True,"Ann Arbor, Mich.",Eastern Michigan,60,True,Won,91,2008,4:00 p.m. ET,False
2008-12-20,Saturday,m-baskbl,1027645,True,"Auburn Hills, Mich.",Oakland,76,False,Won,89,2008,4:00 p.m. ET,False
2008-12-22,Monday,m-baskbl,1027643,True,"Ann Arbor, Mich.",Florida Gulf Coast,59,True,Won,76,2008,7:00 p.m. ET,False
2008-12-29,Monday,m-baskbl,1027640,True,"Ann Arbor, Mich.",North Carolina Central,57,True,Won,77,2008,7:00 p.m. ET,False
2008-12-31,Wednesday,m-baskbl,1027638,True,"Ann Arbor, Mich.",Wisconsin,73,True,Lost,61,2008,2:00 p.m. ET,False
2009-01-04,Sunday,m-baskbl,1027636,True,"Ann Arbor, Mich.",Illinois,64,True,Won,74,2008,12:00 p.m. ET,False
2009-01-07,Wednesday,m-baskbl,1027634,True,"Bloomington, Ind.",Indiana,66,False,Won,72,2008,6:30 p.m. ET,False
2009-01-11,Sunday,m-baskbl,1027631,True,"Ann Arbor, Mich.",Iowa,49,True,Won,64,2008,11:30 a.m. ET,False
2009-01-14,Wednesday,m-baskbl,1027629,True,"Champaign, Ill.",Illinois,66,False,Lost,51,2008,7:30 p.m. CT,False
2009-01-17,Saturday,m-baskbl,1027623,True,"Ann Arbor, Mich.",Ohio State,65,True,Lost,58,2008,8:00 p.m. ET,False
2009-01-20,Tuesday,m-baskbl,1027621,True,"State College, Pa.",Penn State,73,False,Lost,58,2008,9:00 p.m. ET,False
2009-01-24,Saturday,m-baskbl,1027620,True,"Ann Arbor, Mich.",Northwestern,59,True,Won,68,2008,8:00 p.m. ET,False
2009-01-28,Wednesday,m-baskbl,1027619,True,"Columbus, Ohio",Ohio State,72,False,Lost,54,2008,6:30 p.m. ET,False
2009-01-31,Saturday,m-baskbl,1027618,True,"West Lafayette, Ind.",Purdue,67,False,Lost,49,2008,1:00 p.m. ET,False
2009-02-05,Thursday,m-baskbl,1027613,True,"Ann Arbor, Mich.",Penn State,51,True,Won,71,2008,7:00 p.m. ET,False
2009-02-07,Saturday,m-baskbl,1027611,True,"Storrs, Conn.",Connecticut,69,False,Lost,61,2008,6:00 p.m. ET,False
2009-02-10,Tuesday,m-baskbl,1027607,True,"Ann Arbor, Mich.",Michigan State,54,True,Lost,42,2008,7:00 p.m. ET,False
2009-02-15,Sunday,m-baskbl,1027605,True,"Evanston, Ill.",Northwestern,67,False,Won,70,2008,2:00 p.m. CT,False
2009-02-19,Thursday,m-baskbl,1027600,True,"Ann Arbor, Mich.",Minnesota,62,True,Won,74,2008,7:00 p.m. ET,False
2009-02-22,Sunday,m-baskbl,1027595,True,"Iowa City, Iowa",Iowa,70,False,Lost,60,2008,4:00 p.m. CT,False
2009-02-26,Thursday,m-baskbl,1027594,True,"Ann Arbor, Mich.",Purdue,78,True,Won,87,2008,9:00 p.m. ET,False
2009-03-01,Sunday,m-baskbl,1027592,True,"Madison, Wisc.",Wisconsin,60,False,Lost,55,2008,1:00 p.m. CT,False
2009-03-07,Saturday,m-baskbl,1027591,True,"Minneapolis, Minn.",Minnesota,64,False,Won,67,2008,11:00 a.m. CT,False
2009-03-12,Thursday,m-baskbl,1067612,True,"Indianapolis, Ind.",Iowa,45,True,Won,73,2008,2:30 p.m. ET,True
2009-03-13,Friday,m-baskbl,1068672,True,"Indianapolis, Ind.",Illinois,60,False,Lost,50,2008,6:30 p.m. ET,True
2009-03-19,Thursday,m-baskbl,1069320,True,"Kansas City, Mo.",Clemson,59,False,Won,62,2008,6:10 p.m. CT,True
2009-03-21,Saturday,m-baskbl,1070383,True,"Kansas City, Mo.",Oklahoma,73,False,Lost,63,2008,4:50 p.m. CT,True
2009-11-06,Friday,m-baskbl,1124974,True,"Ann Arbor, Mich.",Wayne State,54,True,Won,73,2009,7:00 p.m. ET,False
2009-11-14,Saturday,m-baskbl,1124976,True,"Ann Arbor, Mich.",Northern Michigan,50,True,Won,97,2009,7:00 p.m. ET,False
2009-11-20,Friday,m-baskbl,1124977,True,"Ann Arbor, Mich.",Houston Baptist,55,True,Won,77,2009,7:00 p.m. ET,False
2009-11-26,Thursday,m-baskbl,1124979,True,"Orlando, Fla.",Creighton,76,True,Won,83,2009,12:00 p.m. ET,True
2009-11-27,Friday,m-baskbl,1124980,True,"Orlando, Fla.",Marquette,79,False,Lost,65,2009,12:00 p.m. ET,True
2009-11-29,Sunday,m-baskbl,1124981,True,"Orlando, Fla.",Alabama,68,False,Lost,66,2009,5:00 p.m. ET,True
2009-12-02,Wednesday,m-baskbl,1179003,True,"Ann Arbor, Mich.",Boston College,62,True,Lost,58,2009,7:30 p.m. ET,True
2009-12-05,Saturday,m-baskbl,1125412,True,"Ann Arbor, Mich.",Arkansas - Pine Bluff,53,True,Won,67,2009,2:00 p.m. ET,False
2009-12-09,Wednesday,m-baskbl,1124998,True,"Salt Lake City, Utah",Utah,68,False,Lost,52,2009,7:00 p.m. MT,False
2009-12-13,Sunday,m-baskbl,1125007,True,"Ann Arbor, Mich.",Detroit,64,True,Won,75,2009,12:00 p.m. ET,False
2009-12-19,Saturday,m-baskbl,1125018,True,"Lawrence, Kan.",Kansas,75,False,Lost,64,2009,11:00 a.m. CT,False
2009-12-22,Tuesday,m-baskbl,1125055,True,"Ann Arbor, Mich.",Coppin State,46,True,Won,76,2009,7:00 p.m. ET,False
2009-12-31,Thursday,m-baskbl,1125061,True,"Bloomington, Ind.",Indiana,71,False,Lost,65,2009,12:00 p.m. ET,False
2010-01-03,Sunday,m-baskbl,1125062,True,"Ann Arbor, Mich.",Ohio State,64,True,Won,73,2009,4:30 p.m. ET,False
2010-01-07,Thursday,m-baskbl,1125084,True,"State College, Pa.",Penn State,55,False,Won,64,2009,7:00 p.m. ET,False
2010-01-10,Sunday,m-baskbl,1125123,True,"Ann Arbor, Mich.",Northwestern,68,True,Lost,62,2009,2:30 p.m. ET,False
2010-01-14,Thursday,m-baskbl,1125127,True,"Ann Arbor, Mich.",Indiana,45,True,Won,69,2009,9:00 p.m. ET,False
2010-01-17,Sunday,m-baskbl,1125146,True,"Ann Arbor, Mich.",Connecticut,63,True,Won,68,2009,1:30 p.m. ET,False
2010-01-20,Wednesday,m-baskbl,1125149,True,"Madison, Wis.",Wisconsin,54,False,Lost,48,2009,7:30 p.m. CT,False
2010-01-23,Saturday,m-baskbl,1125154,True,"West Lafayette, Ind.",Purdue,69,False,Lost,59,2009,4:00 p.m. ET,False
